# CK2RELIGION;EU4RELIGION;Custom Defined;Comment

# Zoroastrianism

mazdaki;mazdaki;1;Mazdaki
manichean;manichean;1;Manichean

# Judaism
samaritan;samaritan;1;Samaritan
karaite;karaite;1;Karaite

# Catholic Heresies
cathar;cathar;1;Cathar
fraticelli;fraticelli;1;Fraticelli
waldensian;waldensian;1;Waldensian
lollard;lollard;1;Lollard

# Orthodox Heresies
monophysite;monophysite;1;Monophysite
bogomilist;bogomilist;1;Bogomilist
monothelite;monothelite;1;Monothelite
iconoclast;iconoclast;1;Iconoclast
paulician;paulician;1;Paulician
messalian;messalian;1;Messalian
miaphysite;coptic;0;Coptic

# Sunni Heresies
zikri;zikri;1;Zikri
yazidi;yazidi;1;Yazidi
kharijite;kharijite;1;Kharijite
ibadi;ibadi;0;Ibadi

# Shiite Heresies
druze;druze;1;Druze
hurufi;hurufi;1;hurufi