#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_GoPagan_257;It is said that the Abbasids would never have been able to seize the caliphate without the aid of the great Persian general, Abu Muslim, who in the end was rewarded for his service with death -- executed on the order of Caliph Al-Mansur. Resentment for this perceived betrayal has long simmered as resentment among the Persian people, resentment which has now broken out in open rebellion. A peasant leader by the name of Babak, aided by his capable wife Banu, an effective general and archer in her own right, has risen up to free his nation from the unjust rule of [Root.GetTitledFirstNameNoRegnal]...and has already attracted a massive following, enough to present a real threat to the [Root.PrimaryTitle.GetFullName].;;Es heißt, dass die Abbasiden ohne die Hilfe des großen persischen Generals Abu Muslim niemals in der Lage gewesen wären, das Kalifat an sich zu reißen, der schließlich für seine Dienste mit dem Tod belohnt wurde - hingerichtet auf Befehl des Kalifen Al-Mansur. Der Groll über diesen vermeintlichen Verrat schwelt seit langem im persischen Volk, ein Groll, der sich nun in einer offenen Rebellion entlädt. Ein Bauernführer namens Babak, unterstützt von seiner fähigen Frau Banu, die selbst eine gute Generalin und Bogenschützin ist, hat sich erhoben, um sein Volk von der ungerechten Herrschaft von [Root.GetTitledFirstNameNoRegnal] zu befreien... und hat bereits eine große Anhängerschaft angezogen, die eine echte Bedrohung für [Root.PrimaryTitle.GetFullName] darstellt.;;;x
EVTOPTA_GoPagan_257;This is an outrage!;;Das ist ein Skandal!;;;x
EVTOPTB_GoPagan_257;It's about time!;;Es ist höchste Zeit!;;;x
EVTNAME_GoPagan_258;The Mazdaki Priesthood;;Die Mazdaki-Priesterschaft;;;x
EVTDESC_GoPagan_258;Although the Prophet Mazdak always railed against the corruption of the Zoroastrian Priesthood, and his followers have never had an official structure to speak of, now that the faith has risen to such prominence under [Root.GetTitledName] it seems the time has come to give it to them. With [new_mazdaki_leader.GetTitledFirstNameNoRegnal] chosen as the new [new_mazdaki_leader.PrimaryTitle.GetRulerTitle] of the [new_mazdaki_leader.PrimaryTitle.GetFullName], the Mazdaki faith has entered a new era, with a priesthood rivalling that of the Zoroastrians from which they once stemmed...and have, perhaps, now exceeded.;;Obwohl der Prophet Mazdak immer gegen die Korruption der zoroastrischen Priesterschaft gewettert hat und seine Anhänger nie über eine nennenswerte offizielle Struktur verfügten, scheint nun, da der Glaube unter [Root.GetTitledName] zu solcher Prominenz aufgestiegen ist, die Zeit gekommen zu sein, ihnen diese zu geben. Mit [new_mazdaki_leader.GetTitledFirstNameNoRegnal], der zum neuen [new_mazdaki_leader.PrimaryTitle.GetRulerTitle] des [new_mazdaki_leader.PrimaryTitle.GetFullName] gewählt wurde, ist der Mazdaki-Glaube in eine neue Ära eingetreten, mit einer Priesterschaft, die mit der der Zoroastrier konkurriert, von denen sie einst abstammten... und die sie nun vielleicht übertroffen haben.;;;x
EVTOPTA_GoPagan_258;A glorious day!;;Ein glorreicher Tag!;;;x
EVTDESC_GoPagan_259;The Mazdaki teach there are four Powers that bring Light into the World: Discernment, Understanding, Preservation, and Joy. Any adult member of the faith may embrace one of these Powers. in an attempt to achieve eventual perfection.;;Die Mazdaki lehren, dass es vier Mächte gibt, die Licht in die Welt bringen: Unterscheidungsvermögen, Verständnis, Bewahrung und Freude. Jedes erwachsene Mitglied des Glaubens kann sich eine dieser Kräfte zu eigen machen, um die Vollkommenheit zu erreichen.;;;x
EVTOPTA_GoPagan_259;I choose the Power of Discernment;;Ich wähle die Kraft der Unterscheidung;;;x
EVTOPTB_GoPagan_259;I choose the Power of Understanding;;Ich wähle die Kraft des Verstehens;;;x
EVTOPTC_GoPagan_259;I choose the Power of Preservation;;Ich wähle die Kraft der Bewahrung;;;x
EVTOPTD_GoPagan_259;I choose the Power of Joy;;Ich wähle die Kraft der Freude;;;x
EVTDESC_GoPagan_260;You have begun preparations for the Tawûsgeran festival, also known as the 'Circulation of the Peacock'. You send out messengers with invitations to your Yazidi vassals, expecting all to come and honor Melek Taus, greatest among the seven angels.;;Du hast mit den Vorbereitungen für das Tawûsgeran-Fest begonnen, das auch als "Kreislauf des Pfaus" bekannt ist. Du schickst Boten mit Einladungen an deine jesidischen Vasallen aus und erwartest, dass alle kommen und Melek Taus, den größten der sieben Engel, ehren.;;;x
EVTOPTA_GoPagan_260;I've been looking forward to this;;Darauf habe ich mich schon gefreut;;;x
EVTDESC_GoPagan_261;[Root.GetTitledFirstNameNoRegnal],\n\nThe time has come once again for us all to celebrate the Tawûsgeran, a time to honor Melek Taus - He who is most holy amongst the seven angels. The festival will take place in [From.Capital.GetName], and you are hereby formally invited to attend.\nSincerely,\n[From.GetTitledName];; Das Fest wird in [From.Capital.GetName] stattfinden, und Ihr seid hiermit offiziell eingeladen, daran teilzunehmen.\nMit freundlichen Grüßen,\n[From.GetTitledName];;;x
EVTDESC_GoPagan_263;The Tawûsgeran festival is well under way when you finally arrive in [FromFrom.Capital.GetName]. Priests walk throughout the crowds, giving out vials of holy water to the faithful. You can hear the holy rites to the Seven being chanted at shrines everywhere you walk, though the name of Melek Taus is most prominent amongst them.;;Das Tawûsgeran-Fest ist bereits in vollem Gange, als ihr endlich in [FromFrom.Capital.GetName] ankommt. Priester gehen durch die Menschenmenge und verteilen Weihwasser an die Gläubigen. Überall hört man die heiligen Riten der Sieben, die an den Schreinen gesungen werden, wobei der Name von Melek Taus am häufigsten genannt wird.;;;x
EVTOPTA_GoPagan_263;An excellent time, to be sure;;Eine hervorragende Zeit, ganz sicher;;;x
EVTDESC_GoPagan_264;Peasants are streaming into [Root.Capital.GetName] from all over [Root.PrimaryTitle.GetName] for the beginning of the Tawûsgeran festival, and already your vassals are arriving. The chanting of rites to Melek Taus can be heard from the many shrines at your window, and soon the true celebrations will begin.;;Die Bauern strömen aus ganz [Root.Capital.GetName] nach [Root.PrimaryTitle.GetName], um den Beginn des Tawûsgeran-Festes zu feiern, und auch Eure Vasallen treffen bereits ein. Von den vielen Schreinen vor Eurem Fenster sind die Riten für Melek Taus zu hören, und bald werden die wahren Feierlichkeiten beginnen.;;;x
EVTNAME_GoPagan_265;The Circulation of the Peacock;;Der Kreislauf des Pfaus;;;x
EVTDESC_GoPagan_265;The Circulation of the Peacock is about to start! In accordance with tradition, priests and pious men carry the senjaq, statues of the Seven Archangels, in circles around the city as they distribute blessings. To carry one of the statues is an honor reserved for only those of great wisdom and piety, as well as an event requiring considerable strength and willpower.;;Der Kreislauf des Pfaus kann beginnen! Gemäß der Tradition tragen Priester und fromme Männer die Senjaq, Statuen der sieben Erzengel, im Kreis durch die Stadt, während sie Segen verteilen. Eine der Statuen zu tragen, ist eine Ehre, die nur denjenigen vorbehalten ist, die über große Weisheit und Frömmigkeit verfügen, und ein Ereignis, das viel Kraft und Willensstärke erfordert.;;;x
EVTOPTA_GoPagan_265;I wish to carry one of the statues!;;Ich wünsche mir, eine der Statuen zu tragen!;;;x
EVTOPTB_GoPagan_265;I am content to watch the proceedings;;Ich bin damit zufrieden, den Vorgang zu beobachten;;;x
EVTDESC_GoPagan_266;As you carry the heavy senjaq around, you discover that it is rather heavier than you expected. The unaccustomed weight causes you to stumble, and the idol slips out of your hands and crashes down to the ground and is damaged. Everyone stares in horror as you quickly pick it back up.;;Während du den schweren Senjaq herumträgst, stellst du fest, dass er schwerer ist, als du erwartet hast. Durch das ungewohnte Gewicht stolperst du, und die Statue rutscht dir aus den Händen und fällt auf den Boden, wo sie beschädigt wird. Alle starren dich entsetzt an, als du sie schnell wieder aufhebst.;;;x
EVTOPTA_GoPagan_266;Only a few people saw that...right?;;Nur ein paar Leute haben das gesehen... oder?;;;x
EVTDESC_GoPagan_267;As you carry the heavy senjaq around, the weight and the heat begin to take their toll upon you. As if in a dream, you begin to hear the voices of the Seven Archangels talking, telling you secrets and mysteries...;;Während du den schweren Senjaq durch die Gegend trägst, beginnen das Gewicht und die Hitze ihren Tribut von dir zu fordern. Wie in einem Traum fängst du an, die Stimmen der Sieben Erzengel zu hören, die dir Geheimnisse und Mysterien verraten...;;;x
EVTOPTA_GoPagan_267;They have visited me! I am blessed!;;Sie haben mich besucht! Ich bin gesegnet!;;;x
EVTDESC_GoPagan_268;With each step of the Circulation, more and more of the truth of your faith is reveled to you. Of course this is the proper path. How could any man doubt such a truth?;;Mit jedem Schritt des Kreislaufs wird dir mehr und mehr von der Wahrheit deines Glaubens offenbart. Natürlich ist dies der richtige Weg. Wie könnte ein Mensch an einer solchen Wahrheit zweifeln?;;;x
EVTOPTA_GoPagan_268;For the glory of Menek Taus!;;Zum Ruhme Menek Taus!;;;x
EVTDESC_GoPagan_269;Perhaps it is the power of faith that fills you, but what once seemed so heavy at the beginning now feels as light as feather. Why, you could carry this senjaq around all day if the priests would let you!;;Vielleicht ist es die Kraft des Glaubens, die dich erfüllt, aber was dir anfangs so schwer erschien, fühlt sich jetzt so leicht wie eine Feder an. Du könntest diesen Senjaq den ganzen Tag mit dir herumtragen, wenn die Priester dich lassen würden!;;;x
EVTOPTA_GoPagan_269;Strength comes from faith;;Stärke kommt vom Glauben;;;x
EVTNAME_GoPagan_270;Veneration of the Senjaq;;Verehrung der Senjaq;;;x
EVTDESC_GoPagan_270;After the senjaq have been paraded around the city, the populace of the city comes forward to present their sacrifices and tributes. You visit each senjaq in turn, praying for the wisdom of the Seven Archangels, venerating them with holy incense.;;Nachdem die Senjaq durch die Stadt paradiert wurden, kommt die Bevölkerung der Stadt nach vorne, um ihre Opfergaben und Tribute darzubringen. Sie besuchen nacheinander jeden Senjaq, beten um die Weisheit der sieben Erzengel und verehren sie mit heiligem Weihrauch.;;;x
EVTOPTA_GoPagan_270;For Wisdom and Honor;;Für Weisheit und Ehre;;;x
EVTNAME_GoPagan_271;Gifts From the Pious;;Geschenke von den Frommen;;;x
EVTDESC_GoPagan_271;The final stage of the Tawûsgeran festival is the collection of alms from the pious. Every man and woman is expected to give, a contribution to the greater faith and in support of those in need. While most give only a few coins, those who are able are expected to give much more.;;Die letzte Etappe des Tawûsgeran-Festes ist die Sammlung von Almosen bei den Frommen. Von jedem Mann und jeder Frau wird erwartet, dass sie einen Beitrag zum größeren Glauben und zur Unterstützung der Bedürftigen leisten. Während die meisten nur ein paar Münzen geben, wird von denen, die dazu in der Lage sind, erwartet, dass sie viel mehr geben.;;;x
EVTOPTA_GoPagan_271;I am a pious [Root.GetManWoman];;Ich bin ein frommer [Root.GetManWoman];;;x
EVTOPTB_GoPagan_271;I will give what I must, no more;;Ich werde geben, was ich muss, nicht mehr;;;x
EVTOPTC_GoPagan_271;Ignore this nonsense;;Ignorieren Sie diesen Unsinn;;;x
EVTDESC_GoPagan_272;The final ceremony is a grand sermon of thanksgiving to God and his servants. It was a rousing sermon as always, and the crowd begins the feast with great abandon. Another glorious celebration of the Seven Archangels has been completed!;;Die abschließende Zeremonie ist eine große Dankespredigt an Gott und seine Diener. Es war wie immer eine mitreißende Predigt, und die Menge beginnt das Fest mit großer Hingabe. Ein weiteres glorreiches Fest der Sieben Erzengel ist vollendet!;;;x
EVTOPTA_GoPagan_272;Praise the Seven!;;Gelobt seien die Sieben!;;;x
EVTDESC_GoPagan_273;The Tawûsgeran is over for now, and already the many decorations are being taken down. Melek Taus has been properly honored, and the realm is looking forward to a bright future under His wisdom.;;Das Tawûsgeran ist vorerst vorbei, und die vielen Dekorationen werden bereits abgebaut. Melek Taus wurde gebührend geehrt, und das Reich freut sich auf eine strahlende Zukunft unter seiner Weisheit.;;;x
EVTOPTA_GoPagan_273;Until next time!;;Bis zum nächsten Mal!;;;x
EVTDESC_GoPagan_277;Sadly, the death of [From.GetTitledFirstNameNoRegnal] means the Circulation of the Peacock must be canceled.;;Leider bedeutet der Tod von [From.GetTitledFirstNameNoRegnal], dass die Zirkulation des Pfaus abgesagt werden muss.;;;x
EVTOPTA_GoPagan_277;Such is how it is;;So ist es nun einmal;;;x
EVTNAME_GoPagan_278;A Koasasa is Discovered;;Ein Koasasa wird entdeckt;;;x
EVTDESC_GoPagan_278_taus;The concept of metempsychosis, or rebirth, is central to the Yazidi faith. Indeed, they believe it is possible for the Seven Archangels to be reborn among the faithful as 'koasasa'. Today it has been declared that [Root.GetTitledName] is none other than the koasasa of the Peacock Angel himself, Melek Taus. Yazidi throughout the land celebrate this discovery, and everywhere the young man travels he is given offerings by those overjoyed by the angel's return to the mortal world.;;Das Konzept der Metempsychose bzw. der Wiedergeburt ist ein zentrales Element des jesidischen Glaubens. Tatsächlich glauben sie, dass es möglich ist, dass die sieben Erzengel unter den Gläubigen als "koasasa" wiedergeboren werden. Heute wurde erklärt, dass [Root.GetTitledName] kein anderer als der koasasa des Pfauenengels selbst, Melek Taus, ist. Die Jesiden im ganzen Land feiern diese Entdeckung, und überall, wohin der junge Mann reist, bringen ihm diejenigen, die sich über die Rückkehr des Engels in die Welt der Sterblichen freuen, Opfergaben.;;;x
EVTDESC_GoPagan_278_israfel;The concept of metempsychosis, or rebirth, is central to the Yazidi faith. Indeed, they believe it is possible for the Seven Archangels to be reborn among the faithful as 'koasasa'. Today it has been declared that [Root.GetTitledName] is none other than the koasasa of the Burning Angel of the Trumpet, Melek Israfel. Yazidi throughout the land celebrate this discovery, and everywhere the young man travels he is given offerings by those overjoyed by the angel's return to the mortal world.;;Das Konzept der Metempsychose, der Wiedergeburt, ist ein zentrales Element des jesidischen Glaubens. Sie glauben, dass es möglich ist, dass die sieben Erzengel unter den Gläubigen als "koasasa" wiedergeboren werden. Heute wurde erklärt, dass [Root.GetTitledName] kein anderer als der koasasa des brennenden Engels der Trompete, Melek Israfel, ist. Die Jesiden im ganzen Land feiern diese Entdeckung, und überall, wohin der junge Mann reist, bringen ihm diejenigen, die sich über die Rückkehr des Engels in die Welt der Sterblichen freuen, Opfergaben.;;;x
EVTDESC_GoPagan_278_azrael;The concept of metempsychosis, or rebirth, is central to the Yazidi faith. Indeed, they believe it is possible for the Seven Archangels to be reborn among the faithful as 'koasasa'. Today it has been declared that [Root.GetTitledName] is none other than the koasasa of the Angel of Death, Melek Azrael. Yazidi throughout the land celebrate this discovery, and everywhere the young man travels he is given offerings by those overjoyed by the angel's return to the mortal world.;;Das Konzept der Metempsychose, der Wiedergeburt, ist ein zentrales Element des jesidischen Glaubens. Sie glauben, dass es möglich ist, dass die sieben Erzengel unter den Gläubigen als "koasasa" wiedergeboren werden. Heute wurde erklärt, dass [Root.GetTitledName] kein anderer als der koasasa des Todesengels Melek Azrael ist. Die Jesiden im ganzen Land feiern diese Entdeckung, und überall, wohin der junge Mann reist, bringen ihm diejenigen, die sich über die Rückkehr des Engels in die Welt der Sterblichen freuen, Opfergaben.;;;x
EVTDESC_GoPagan_278_mihael;The concept of metempsychosis, or rebirth, is central to the Yazidi faith. Indeed, they believe it is possible for the Seven Archangels to be reborn among the faithful as 'koasasa'. Today it has been declared that [Root.GetTitledName] is none other than the koasasa of the Commander of the Armies of God, Melek Mihael. Yazidi throughout the land celebrate this discovery, and everywhere the young man travels he is given offerings by those overjoyed by the angel's return to the mortal world.;;Das Konzept der Metempsychose, der Wiedergeburt, ist ein zentrales Element des jesidischen Glaubens. Sie glauben, dass es möglich ist, dass die sieben Erzengel unter den Gläubigen als "koasasa" wiedergeboren werden. Heute wurde erklärt, dass [Root.GetTitledName] kein anderer als der koasasa des Befehlshabers der Armeen Gottes, Melek Mihael, ist. Die Jesiden im ganzen Land feiern diese Entdeckung, und überall, wohin der junge Mann reist, bringen ihm diejenigen Opfergaben dar, die sich über die Rückkehr des Engels in die Welt der Sterblichen freuen.;;;x
EVTDESC_GoPagan_278_dardael;The concept of metempsychosis, or rebirth, is central to the Yazidi faith. Indeed, they believe it is possible for the Seven Archangels to be reborn among the faithful as 'koasasa'. Today it has been declared that [Root.GetTitledName] is none other than the koasasa of the Great Angel, Melek Dardael. Yazidi throughout the land celebrate this discovery, and everywhere the young man travels he is given offerings by those overjoyed by the angel's return to the mortal world.;;Das Konzept der Metempsychose, der Wiedergeburt, ist ein zentrales Element des jesidischen Glaubens. Sie glauben, dass es möglich ist, dass die sieben Erzengel unter den Gläubigen als "koasasa" wiedergeboren werden. Heute wurde erklärt, dass [Root.GetTitledName] kein anderer als der koasasa des Großen Engels, Melek Dardael, ist. Die Jesiden im ganzen Land feiern diese Entdeckung, und überall, wohin der junge Mann reist, bringen ihm diejenigen, die sich über die Rückkehr des Engels in die Welt der Sterblichen freuen, Opfergaben.;;;x
EVTDESC_GoPagan_278_samael;The concept of metempsychosis, or rebirth, is central to the Yazidi faith. Indeed, they believe it is possible for the Seven Archangels to be reborn among the faithful as 'koasasa'. Today it has been declared that [Root.GetTitledName] is none other than the koasasa of the Accuser and Destroyer, Melek Samael. Yazidi throughout the land celebrate this discovery, and everywhere the young man travels he is given offerings by those overjoyed by the angel's return to the mortal world.;;Das Konzept der Metempsychose, der Wiedergeburt, ist ein zentrales Element des jesidischen Glaubens. Sie glauben, dass es möglich ist, dass die sieben Erzengel unter den Gläubigen als "koasasa" wiedergeboren werden. Heute wurde erklärt, dass [Root.GetTitledName] kein anderer als der koasasa des Anklägers und Zerstörers, Melek Samael, ist. Die Jesiden im ganzen Land feiern diese Entdeckung, und überall, wohin der junge Mann reist, bringen ihm diejenigen Opfergaben dar, die sich über die Rückkehr des Engels in die Welt der Sterblichen freuen.;;;x
EVTDESC_GoPagan_278_nurael;The concept of metempsychosis, or rebirth, is central to the Yazidi faith. Indeed, they believe it is possible for the Seven Archangels to be reborn among the faithful as 'koasasa'. Today it has been declared that [Root.GetTitledName] is none other than the koasasa of the Great Angel, Melek Nurael. Yazidi throughout the land celebrate this discovery, and everywhere the young man travels he is given offerings by those overjoyed by the angel's return to the mortal world.;;Das Konzept der Metempsychose, der Wiedergeburt, ist ein zentrales Element des jesidischen Glaubens. Sie glauben, dass es möglich ist, dass die sieben Erzengel unter den Gläubigen als "koasasa" wiedergeboren werden. Heute wurde erklärt, dass [Root.GetTitledName] kein anderer als der koasasa des Großen Engels Melek Nurael ist. Die Jesiden im ganzen Land feiern diese Entdeckung, und überall, wohin der junge Mann reist, bringen ihm diejenigen, die sich über die Rückkehr des Engels in die Welt der Sterblichen freuen, Opfergaben.;;;x
EVTOPTA_GoPagan_278;I will do my best to live up to this honor;;Ich werde mein Bestes tun, um dieser Ehre gerecht zu werden.;;;x
EVTOPTB_GoPagan_278;A glorious day for us all;;Ein glorreicher Tag für uns alle;;;x
EVTDESC_GoPagan_279;The pilgrimage to Lalish, a site just outside of the bustling city of Mosul, is one of the most important journeys a Yazidi can undertake. There one attends the Feast of the Assembly, and returns filled with the spirit and strength of the Seven Archangels...or so the story goes.;;Die Pilgerfahrt nach Lalish, einem Ort etwas außerhalb der geschäftigen Stadt Mosul, ist eine der wichtigsten Reisen, die ein Jeside unternehmen kann. Dort nimmt man am Fest der Versammlung teil und kehrt mit dem Geist und der Kraft der sieben Erzengel zurück ... so heißt es zumindest.;;;x
EVTDESC_GoPagan_280;The day has come. Your belongings are packed, arrangements have been made for matters in [Root.Capital.GetName] to be attended to while you are away, and your departure has been kept quiet to prevent the unsavory from taking advantage of your solitary journey. Now you must begin your journey to Lalish.;;Der Tag ist gekommen. Eure Sachen sind gepackt, es wurden Vorkehrungen getroffen, dass die Angelegenheiten in [Root.Capital.GetName] während Eurer Abwesenheit erledigt werden, und Eure Abreise wurde geheim gehalten, um zu verhindern, dass unliebsame Personen einen Vorteil aus Eurer einsamen Reise ziehen. Nun müsst Ihr Eure Reise nach Lalish antreten.;;;x
EVTNAME_GoPagan_281;Arrival at Lalish;;Ankunft in Lalish;;;x
EVTDESC_GoPagan_281;You arrive in the bustling city of holy Mosul, and it is not long before you make your way to Lalish, a mountain valley village not far to the north. This sleepy place is where the Yazidi faith truly began, and as the Feast of the Assembly unfolds, prayers offered to the Seven Archangels up in the heavens, you marvel at the conical roofs of Sheikh Adi ibn Musafir's tomb. The rest of your stay will be spent in Mosul, but you cannot help but feel overcome at having taken a path so many have walked before you.;;Sie kommen in der geschäftigen Stadt des heiligen Mosul an, und es dauert nicht lange, bis Sie sich auf den Weg nach Lalish machen, einem Gebirgstaldorf nicht weit im Norden. In diesem verschlafenen Ort nahm der jesidische Glaube seinen Anfang, und während das Fest der Versammlung stattfindet und Gebete an die sieben Erzengel im Himmel gerichtet werden, bestaunen Sie die kegelförmigen Dächer des Grabes von Scheich Adi ibn Musafir. Den Rest Ihres Aufenthalts werden Sie in Mossul verbringen, aber Sie sind überwältigt, weil Sie einen Weg eingeschlagen haben, den schon so viele vor Ihnen gegangen sind.;;;x
EVTOPTA_GoPagan_281;Now, what to do next?;;Was tun Sie als Nächstes?;;;x
EVTNAME_GoPagan_285;The Yazidi Faith;;Der jesidische Glaube;;;x
EVTDESC_GoPagan_285;There are many who claim the Yazidi to be devil-worshippers, due to their veneration of the Peacock Angel they call Melek Taus or Shaytan. This has led the Yazidi to be considered Muslim heretics for countless generations, even though their religion incorporates syncretic elements of not only the Muslim faith but also Gnosticism and Zoroastrianism. Now, with [Root.GetTitledName] having risen to such power, [Root.GetSheHe] has declared the Yazidi to be their own faith and no heresy -- and [Root.GetSheHe] has the prestige to be listened to. In the end, it may change nothing save to the Yazidi themselves, but even so it is a sign as to just how far they have come since the ancient days of worshipping at hidden temples in the Kurdish foothills.;;Viele behaupten, die Jesiden seien Teufelsanbeter, weil sie den Pfauenengel verehren, den sie Melek Taus oder Shaytan nennen. Dies hat dazu geführt, dass die Jesiden seit unzähligen Generationen als muslimische Häretiker gelten, obwohl ihre Religion synkretistische Elemente nicht nur des muslimischen Glaubens, sondern auch des Gnostizismus und des Zoroastrismus enthält. Nun, da [Root.GetTitledName] zu solcher Macht aufgestiegen ist, hat [Root.GetSheHe] die Jesiden zu ihrem eigenen Glauben und nicht zu einer Ketzerei erklärt - und [Root.GetSheHe] hat das Ansehen, dass man auf sie hört. Letzten Endes wird dies vielleicht nichts ändern, außer für die Jesiden selbst, aber es ist ein Zeichen dafür, wie weit sie seit den alten Tagen der Anbetung in versteckten Tempeln in den kurdischen Ausläufern gekommen sind.;;;x
EVTOPTA_GoPagan_285;Praise to Melek Taus!;;Gepriesen sei Melek Taus!;;;x
EVTOPTB_GoPagan_285;They are still devil-worshippers;;Sie sind immer noch Teufelsanbeter;;;x
EVTNAME_GoPagan_288;Preparing for Nowruz;;Vorbereitungen für Nowruz;;;x
EVTDESC_GoPagan_288;A courtier in charge of making the Nowruz table has approached you and asked which book should they put on the table.;;Ein Höfling, der für die Vorbereitung der Nowruz-Tafel zuständig ist, hat sich an Sie gewandt und Sie gefragt, welches Buch er auf den Tisch legen soll.;;;x
EVTOPTA_GoPagan_288;According to the traditions we must put Avesta on the table.;;Gemäß den Traditionen müssen wir das Avesta auf den Tisch legen.;;;x
EVTOPTB_GoPagan_288;[Root.Religion.GetScriptureName].;;[Root.Religion.GetScriptureName].;;;x
EVTOPTC_GoPagan_288;A poetry book.;;Ein Buch mit Gedichten.;;;x
EVTOPTD_GoPagan_288;I have changed my mind.;;Ich habe meine Meinung geändert.;;;x
EVTNAME_GoPagan_289;Nowruz is here!;;Nowruz ist da!;;;x
EVTDESC_GoPagan_289;A new day has begun. wherever you look you see happiness, smiles and laughter. Courtiers are celebrating and dancing. Let us not forget about the gift givings. As the ruler, do you wish to receive gifts or generously give gifts?;;Ein neuer Tag hat begonnen. Wohin man auch schaut, sieht man Glück, Lächeln und Lachen. Die Höflinge feiern und tanzen. Vergessen wir nicht, dass es Geschenke gibt. Willst du als Herrscher Geschenke erhalten oder großzügig Geschenke geben?;;;x
EVTOPTA_GoPagan_289;Distribute gold among the people!;;Verteile Gold unter dem Volk!;;;x
EVTOPTB_GoPagan_289;I rather receive gifts.;;Ich nehme lieber Geschenke an.;;;x
EVTOPTC_GoPagan_289;I have changed my mind.;;Ich habe meine Meinung geändert.;;;x
EVTNAME_GoPagan_290;The end of Nowruz;;Das Ende von Nowruz;;;x
EVTDESC_GoPagan_290;Nowruz has come to an end. Until next year.;;Nowruz ist zu Ende gegangen. Bis zum nächsten Jahr.;;;x
EVTOPTA_GoPagan_290;Well at least Sizdebedar was fun.;;Na ja, zumindest Sizdebedar hat Spaß gemacht.;;;x
